Date, Open, High, Low, Close, Volume
05/31/21, 34.65, 34.85, 33.85, 34.40, 12797500
05/28/21, 34.30, 35.00, 34.05, 34.50, 29652500
05/27/21, 33.10, 34.75, 32.80, 34.75, 32749801
05/26/21, 32.05, 32.90, 32.05, 32.65, 21772801
05/25/21, 31.80, 32.10, 31.60, 32.00, 5770500
05/24/21, 32.15, 32.15, 31.50, 31.60, 4679600
05/21/21, 32.00, 32.20, 31.50, 32.15, 6208500
05/20/21, 31.60, 32.20, 31.30, 32.20, 7416700
05/19/21, 32.20, 32.20, 31.25, 31.35, 7006500
05/18/21, 32.25, 32.65, 31.90, 32.00, 16567400
05/17/21, 31.20, 32.95, 31.20, 32.95, 11520900
05/14/21, 32.10, 32.15, 31.00, 31.20, 10993000
05/12/21, 32.25, 32.30, 31.90, 31.95, 13182900
05/11/21, 32.15, 32.30, 32.05, 32.25, 9729100
05/10/21, 32.25, 32.40, 32.00, 32.20, 19485801
05/07/21, 32.25, 32.45, 32.00, 32.25, 12491300
05/06/21, 32.15, 32.30, 31.55, 32.20, 23977900
05/05/21, 31.85, 32.25, 31.80, 32.00, 10994000
05/04/21, 32.45, 32.50, 31.85, 31.85, 17640301
05/03/21, 32.35, 32.80, 32.30, 32.30, 11714000
04/30/21, 33.05, 33.10, 32.20, 32.20, 23506900
04/29/21, 32.80, 33.10, 32.65, 32.90, 8910200
04/28/21, 32.25, 33.10, 32.15, 32.75, 29086500
04/27/21, 32.70, 33.00, 32.05, 32.05, 16710900
04/26/21, 32.60, 32.90, 32.20, 32.50, 17636600
04/23/21, 32.35, 32.40, 32.10, 32.20, 52093102
04/22/21, 33.00, 33.05, 32.10, 32.10, 30051400
04/21/21, 33.15, 33.30, 33.00, 33.00, 18083801
04/20/21, 33.20, 33.50, 33.00, 33.05, 22741900
04/19/21, 33.10, 33.60, 33.05, 33.45, 7610500
04/16/21, 33.85, 33.90, 33.10, 33.25, 17399000
04/15/21, 33.25, 33.95, 33.10, 33.70, 12635900
04/14/21, 33.40, 33.45, 32.80, 33.25, 20741301
04/13/21, 34.15, 34.15, 33.25, 33.30, 15676700
04/12/21, 34.50, 34.85, 33.55, 34.05, 15424600
04/08/21, 34.60, 34.70, 34.50, 34.50, 10989900
04/07/21, 34.70, 34.90, 34.45, 34.50, 14564000
04/06/21, 34.95, 35.05, 34.45, 34.60, 8003500
04/05/21, 34.35, 35.05, 34.35, 34.50, 7539700
03/31/21, 35.50, 35.60, 34.35, 34.35, 14151100
03/30/21, 35.65, 35.65, 35.20, 35.45, 3663900
03/29/21, 34.45, 35.85, 34.10, 35.65, 9753000
03/26/21, 35.10, 35.20, 34.60, 35.00, 17345500
03/25/21, 35.10, 35.90, 35.05, 35.05, 19333699
03/24/21, 34.30, 35.20, 33.90, 34.90, 6531400
03/23/21, 33.85, 34.70, 33.85, 34.30, 8205700
03/22/21, 34.40, 34.95, 33.80, 33.80, 15852700
03/19/21, 36.00, 36.35, 34.50, 34.50, 18215000
03/18/21, 35.65, 36.75, 35.35, 36.00, 8668200
03/17/21, 35.75, 36.00, 35.40, 35.65, 9295700
03/16/21, 35.85, 36.65, 35.70, 35.75, 7751500
03/15/21, 36.70, 36.90, 35.00, 35.90, 11451700
03/12/21, 36.85, 37.00, 36.60, 37.00, 8230600
03/11/21, 37.05, 37.20, 36.25, 36.60, 8163900
03/10/21, 37.05, 37.50, 36.75, 37.35, 10421900
03/09/21, 37.60, 38.20, 36.60, 37.00, 7633800
03/08/21, 38.40, 38.40, 37.60, 37.75, 7317900
03/05/21, 38.50, 38.75, 38.10, 38.50, 7584700
03/04/21, 39.40, 39.40, 38.50, 38.50, 6635200
03/03/21, 39.40, 39.80, 39.15, 39.80, 2945700
03/02/21, 39.70, 39.75, 39.25, 39.50, 6343500
03/01/21, 39.55, 39.90, 39.05, 39.85, 8698200
02/26/21, 38.00, 39.70, 37.60, 39.05, 11816900
02/24/21, 39.65, 39.65, 38.25, 38.65, 6423200
02/23/21, 38.50, 38.65, 38.15, 38.20, 6764400
02/22/21, 38.95, 39.20, 38.35, 38.35, 5893700
02/19/21, 38.95, 39.40, 38.15, 39.00, 7749200
02/18/21, 39.75, 39.75, 38.70, 38.85, 10125000
02/17/21, 39.85, 39.95, 39.20, 39.55, 8388900
02/16/21, 40.00, 40.25, 39.95, 40.10, 9395000
02/15/21, 40.10, 40.90, 40.00, 40.00, 4798500
02/11/21, 40.50, 40.60, 39.95, 40.35, 3698200
02/10/21, 40.50, 41.20, 40.50, 40.50, 9768500
02/09/21, 40.70, 40.70, 40.20, 40.30, 4467200
02/08/21, 39.85, 40.75, 39.55, 40.75, 9445400
02/05/21, 38.90, 39.95, 38.30, 39.95, 8962300
02/04/21, 39.00, 39.00, 38.25, 38.90, 5037300
02/03/21, 39.30, 39.30, 38.20, 38.55, 6454800
02/02/21, 39.00, 39.55, 38.95, 39.30, 6652000
02/01/21, 37.50, 39.30, 36.85, 39.30, 8429400
01/29/21, 38.60, 39.70, 37.70, 37.70, 18671801
01/28/21, 38.75, 39.40, 38.70, 38.80, 5475100
01/27/21, 39.60, 39.80, 38.80, 38.80, 8092700
01/26/21, 39.50, 40.00, 39.30, 40.00, 8480100
01/25/21, 39.00, 40.00, 39.00, 40.00, 7227200
01/22/21, 39.55, 39.75, 38.70, 39.45, 7350700
01/21/21, 39.10, 39.90, 38.85, 39.85, 3387100
01/20/21, 39.60, 39.90, 38.30, 38.85, 8395400
01/19/21, 39.65, 39.65, 39.25, 39.65, 7662200
01/18/21, 40.00, 40.05, 39.20, 39.65, 8178000
01/15/21, 40.40, 40.50, 39.60, 40.15, 4766300
01/14/21, 40.00, 40.75, 39.15, 40.30, 9387300
01/13/21, 41.45, 41.50, 40.40, 40.40, 6850900
01/12/21, 41.45, 41.70, 40.80, 41.45, 6519600
01/11/21, 41.50, 42.00, 41.00, 41.40, 9225000
01/08/21, 40.70, 41.80, 40.50, 41.55, 6714900
01/07/21, 41.00, 41.00, 40.05, 40.70, 4213600
01/06/21, 41.00, 41.60, 39.00, 41.05, 6928000
01/05/21, 41.90, 41.90, 41.00, 41.00, 5308400
01/04/21, 40.80, 42.00, 40.65, 42.00, 5282500
12/29/20, 41.70, 41.70, 40.90, 40.90, 6322500
12/28/20, 41.20, 41.75, 41.05, 41.75, 4895800
12/23/20, 41.50, 41.80, 41.00, 41.75, 6492100
12/22/20, 41.25, 41.70, 40.45, 41.70, 6216500
12/21/20, 41.10, 41.75, 40.90, 41.75, 6142900
12/18/20, 41.50, 42.00, 40.80, 41.90, 11216000
12/17/20, 41.25, 42.00, 41.00, 42.00, 4489300
12/16/20, 41.00, 41.70, 40.35, 41.70, 4692000
12/15/20, 41.95, 42.00, 40.70, 41.30, 15198500
12/14/20, 41.05, 42.10, 40.60, 41.50, 9649800
12/11/20, 40.05, 41.95, 40.00, 41.60, 16865699
12/10/20, 38.75, 40.05, 38.75, 40.05, 10014600
12/09/20, 40.00, 40.25, 38.55, 38.70, 11126800
12/07/20, 39.80, 40.05, 39.15, 39.80, 11488000
12/04/20, 40.00, 40.30, 38.55, 39.95, 9974100
12/03/20, 40.00, 41.15, 39.30, 39.60, 14150300
12/02/20, 39.50, 40.50, 39.10, 40.50, 12510700
12/01/20, 36.10, 39.75, 36.00, 39.75, 16679199
11/27/20, 37.70, 38.00, 36.70, 38.00, 41245102
11/26/20, 37.55, 38.00, 36.80, 38.00, 14530600
11/25/20, 39.00, 39.50, 37.75, 37.75, 11123200
11/24/20, 39.45, 39.50, 38.50, 39.00, 11231200
11/23/20, 39.90, 40.30, 38.70, 38.70, 12266200
11/20/20, 39.50, 40.00, 39.15, 40.00, 7562200
11/19/20, 38.70, 39.65, 38.70, 39.25, 12962400
11/18/20, 38.95, 39.55, 38.65, 39.50, 10291900
11/17/20, 38.80, 39.20, 38.40, 38.85, 12700700
11/16/20, 39.30, 39.30, 38.00, 39.10, 12386800
11/13/20, 37.50, 39.50, 36.90, 39.50, 24118699
11/11/20, 37.65, 38.30, 36.95, 38.30, 28046699
11/10/20, 35.15, 37.75, 35.15, 37.75, 33791301
11/09/20, 34.80, 34.85, 34.25, 34.70, 10096200
11/06/20, 34.10, 35.00, 33.70, 35.00, 9633800
11/05/20, 33.50, 34.80, 33.50, 34.05, 16783600
11/04/20, 33.00, 33.50, 32.45, 33.35, 8909600
11/03/20, 31.80, 33.05, 31.80, 32.80, 5523900
10/30/20, 32.15, 33.15, 31.85, 33.00, 10161800
10/29/20, 33.30, 33.35, 32.15, 32.20, 11837400
10/28/20, 34.20, 34.20, 33.55, 33.85, 6890700
10/27/20, 34.20, 34.40, 33.60, 34.40, 15551300
10/26/20, 33.90, 34.40, 33.65, 34.40, 11651700
10/23/20, 33.50, 34.10, 33.15, 33.95, 20080900
10/22/20, 32.50, 33.50, 31.50, 33.50, 16365700
