Date, Open, High, Low, Close, Volume
4/12/2022,108.417,109.167,107.167,107.5,3510744.086
4/11/2022,110,110,108.417,108.417,5245044.128
4/8/2022,109.917,111,109.167,110.417,1499208.037
4/7/2022,111.167,111.167,108.333,108.333,1363884.033
4/6/2022,110.083,111.167,109.667,111.167,729204.0178
4/5/2022,109,111.167,108.417,111.167,2373624.058
4/4/2022,110.417,110.417,108.917,109.333,3053616.075
4/1/2022,108.917,110.417,108.25,110.417,3844128.094
03/31/22,110.75,110.917,108.5,110.583,1928208.047
03/30/22,110.417,111.083,109.75,110.833,1427028.035
03/29/22,110,110.083,108.333,110,1883100.046
03/28/22,110,110.083,108.333,109.667,1927104.047
03/25/22,108.25,110.417,106.75,110.417,1449972.035
03/24/22,108.583,108.583,106.833,108.333,1973340.048
03/23/22,107.5,108.333,106.833,108.333,2608620.064
03/22/22,105,108.667,104.167,108.667,5203344.127
03/21/22,107,109.583,104.417,105.083,5445924.133
03/18/22,110.833,110.833,106.5,106.5,3756048.092
03/17/22,108.167,111.25,106.667,110.833,4155564.101
03/16/22,108,108.25,105.917,107.667,2831496.069
03/15/22,105,108.083,102.5,108.083,1156608.028
03/14/22,105.25,105.417,102.833,103.417,2097144.051
3/11/2022,105.5,105.833,105,105.833,4274856.104
3/10/2022,105.917,106.667,105,105.75,6007992.147
3/9/2022,102.583,106.583,102.25,104.5,6263160.153
3/8/2022,106.333,108.333,103.333,103.333,2194404.054
3/7/2022,107.833,108.333,103.417,108.333,4895412.119
3/4/2022,108.667,109.583,107.917,108.333,3109812.076
3/3/2022,109.333,109.417,108.5,109.167,3386808.083
3/2/2022,109.25,109.833,108.417,109.167,10144548.25
3/1/2022,108.667,110.75,108.667,110.5,5819376.142
02/28/22,108.417,112.25,107.667,107.667,3657672.089
02/24/22,112.083,112.333,107.583,108.417,2211720.054
02/23/22,112.5,112.5,111.25,112.333,2979588.073
02/22/22,111.917,114,111,112.5,1553436.038
02/21/22,112.167,112.75,111,112.5,2108340.051
02/18/22,112.833,112.833,110.833,112.083,2755092.067
02/17/22,113.333,113.333,111.75,112.5,2647692.065
02/16/22,113.75,114.917,112.917,113.333,3516756.086
02/15/22,113.667,116.167,112.833,113.25,5498688.134
02/14/22,112.417,115.417,112.167,115.25,4452588.109
2/11/2022,114,114.75,111.333,112.417,5126616.125
2/10/2022,114.333,115.833,114.333,115,3338796.081
2/9/2022,113.667,117,113.667,115,2868660.07
2/8/2022,112.5,114.083,112.5,112.917,2356824.058
2/7/2022,113.75,115.333,113.167,113.583,5718288.14
2/4/2022,115.833,115.833,112.583,113.75,5366100.131
2/3/2022,116.333,116.5,114.333,115.833,4077660.099
2/2/2022,113.333,116.667,113.167,116.417,10491912.26
01/31/22,111.667,114,110.917,112.5,1886604.046
01/28/22,106.667,111.667,106.667,111.667,3400560.083
01/27/22,103.833,105.833,103.75,105.833,1707756.042
01/26/22,105.833,106.083,103.667,103.833,940704.023
01/25/22,106.667,106.833,105.833,106,667044.0163
01/24/22,107.833,107.833,106.167,106.167,1352724.033
01/21/22,106.75,107.917,106.333,107.917,1385772.034
01/20/22,106.583,108.333,106.25,107.75,1637748.04
01/19/22,107.833,108.167,106.583,106.583,2016504.049
01/18/22,106,108.333,105.333,108.333,2136264.052
01/17/22,107.5,109.167,106,106,3088572.075
01/14/22,107.667,108.083,106.417,107.917,2748096.067
01/13/22,105.833,108.333,105.667,108.083,1926024.047
1/12/2022,104,105.667,103.75,105.667,1545132.038
1/11/2022,104.167,104.833,101.667,102.083,1604808.039
1/10/2022,101.083,104.167,101.083,104.167,950712.0232
1/7/2022,102.417,102.917,100.583,102.5,1998816.049
1/6/2022,100.583,102.5,100.083,102.5,1654128.04
1/5/2022,100.417,102.917,100,102.917,2524332.062
1/3/2022,100.833,101.667,99.167,100,1981536.048
12/31/21,104.417,105,100.583,100.583,1327776.032
12/29/21,102.917,106.083,102.917,105.833,1034544.025
12/28/21,104.5,105.167,104.167,104.167,705384.0172
12/27/21,102.333,104.583,102.083,104.583,1241820.03
12/24/21,103.333,103.583,101.917,102.5,2406432.059
12/23/21,101.917,103.583,101.75,103.167,1619760.04
12/22/21,102.667,103.333,101.667,101.833,1510824.037
12/21/21,105.167,105.833,103,103,3100140.076
12/20/21,103.75,105.833,102.5,105.833,1556316.038
12/17/21,102.5,104.833,102.333,104.417,5718540.14
12/16/21,105.75,106.25,104.583,105.417,4853052.118
12/15/21,105.833,107.833,104.417,105.833,3748044.091
12/14/21,103.25,105.833,102.833,105.833,5234940.128
12/13/21,101,103.75,100.833,103.75,3155772.077
12/10/2021,103.5,103.833,102.083,102.917,3739248.091
12/9/2021,100.833,104.083,100.5,104.083,5873676.143
12/7/2021,100.833,102.25,99.75,100,4260000.104
12/6/2021,100,102.5,100,100,5737752.14
12/3/2021,100,101.583,100,100,7805004.19
12/2/2021,98.417,101.417,98.417,99.417,15148800.37
12/1/2021,102.5,104.167,98.333,98.333,4719276.115
11/29/21,104,104.417,101.083,103.333,1906536.047
11/26/21,108.667,108.667,105.583,105.833,3009612.073
11/25/21,110,111.75,108.667,108.667,5830224.142
11/24/21,110.833,110.833,109.167,110.083,2533920.062
11/23/21,106.667,111.25,106.333,111.25,2774472.068
11/22/21,105.083,107.083,104.917,106.667,1252248.031
11/19/21,106.5,106.5,104.25,104.667,1466880.036
11/18/21,108.333,108.667,106.667,106.667,2567076.063
11/17/21,106.25,108.583,106.083,108.083,1064196.026
11/16/21,106.167,106.667,104.833,106,2163072.053
11/15/21,108.25,108.25,106.167,106.167,1856604.045
11/12/2021,107.917,109.167,107,108.333,1272504.031
11/11/2021,107.917,108.583,107.917,108.333,2840532.069
11/10/2021,110,111.083,107.917,108.333,2548380.062
11/9/2021,110.833,111,109.167,110,3500880.085
11/8/2021,107.917,111,107.75,110.833,1233804.03
11/5/2021,105.417,108.083,105.333,107.5,1712976.042
11/4/2021,106.667,107.083,105.333,105.333,3104628.076
11/3/2021,105.833,107.083,105,105.5,3265548.08
11/2/2021,104.167,106.583,104,104.333,1453416.035
10/29/21,105.833,107.25,103.417,103.417,2471088.06
10/28/21,108.333,108.333,105.833,105.833,3343560.082
10/27/21,109.167,110.333,108,108.083,2021256.049
10/26/21,107.667,108.917,107.583,108.333,914748.0223
10/25/21,107.25,108.333,107,107.5,3165672.077
10/22/21,106.167,107.083,105.833,106.667,2742216.067
10/21/21,109.167,110,105.333,105.333,2871996.07
10/20/21,108.333,110.25,107.583,109.167,4864704.119
10/19/21,110.75,111.167,107.333,109.833,2745936.067
