Sport,Discipline,Event,Event_gender,Athlete_Name,Gender,Country_ID,Bronze,Silver,Gold
Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double),W,"BISCHOF, Martina",Women,GDR,0,0,1
Weightlifting,Weightlifting,"82.5 - 90kg, total (middle-heavyweight)",M,"ALEKSANDROV, Rumen",Men,BUL,0,1,0
Aquatics,Swimming,4x100m medley relay,W,"CROFT, June",Women,GBR,0,1,0
Hockey,Hockey,hockey,M,"FERNANDES, Mervyn",Men,IND,0,0,1
Athletics,Athletics,high jump,W,"KIRST, Jutta",Women,GDR,1,0,0
Wrestling,Wrestling Free.,74 - 82kg (middleweight),M,"ABILOV, Ismail",Men,BUL,0,0,1
Judo,Judo,78 - 86kg (middleweight),M,"ULTSCH, Detlef",Men,GDR,1,0,0
Aquatics,Swimming,200m freestyle,W,"DIERS, Ines",Women,GDR,0,1,0
Athletics,Athletics,4x400m relay,M,"BECK, Volker",Men,GDR,0,1,0
Volleyball,Volleyball,volleyball,W,"KHRISTOLOVA, Anka",Women,BUL,1,0,0
Rowing,Rowing,eight with coxswain (8+),W,"LOHS-KUHN, Gabriele",Women,GDR,0,0,1
Judo,Judo,60 - 65kg (half-lightweight),M,"DAMDIN, Tsendying",Men,MGL,0,1,0
Aquatics,Diving,10m platform,M,"ALEINIK, Vladimir",Men,URS,0,1,0
Athletics,Athletics,triple jump,M,"DE OLIVEIRA, Joao Carlos",Men,BRA,1,0,0
Fencing,Fencing,sabre individual,M,"BURTSEV, Mikhail",Men,URS,0,1,0
Football,Football,football,M,"RUDWALEIT, Bodo",Men,GDR,0,1,0
Gymnastics,Artistic G.,team competition,W,"NAIMUSHINA, Elena",Women,URS,0,0,1
Rowing,Rowing,four-oared shell with coxswain (4-),M,"DIESSNER, Walter",Men,GDR,0,0,1
Gymnastics,Artistic G.,team competition,W,"ZAKHAROVA, Stella",Women,URS,0,0,1
Rowing,Rowing,eight with coxswain (8+),M,"KRAUSS, Bernd",Men,GDR,0,0,1
Volleyball,Volleyball,volleyball,M,"KONDRA, Vladimir",Men,URS,0,0,1
Athletics,Athletics,shot put,M,"KISELEV, Vladimir",Men,URS,0,0,1
Hockey,Hockey,hockey,W,"CHICK, Sandra",Women,ZIM,0,0,1
